Date,Product,Quantity,Price
2025-01-25,Corn White,1071.6,51.3
2024-02-15,Wheat Durum,559.7,30.1
2023-08-17,Quinoa,1457.4,48.6
2023-03-04,Corn White,1012.9,45.12
2024-06-23,Yogurt Strawberry,362.0,54.35
2023-06-29,Rice Premium,1788.5,47.95
2024-09-03,Wheat Durum,1516.5,70.74
2025-01-15,Onions White,167.3,23.14
2024-08-11,Apples Green,208.5,91.11
2024-06-22,Onions Red,611.7,23.89
2024-03-26,Strawberries,206.6,107.628
2024-11-17,Apples Red,382.4,74.688
2025-04-26,Oats,1729.6,58.152
2024-01-31,Rice Basmati,1985.5,59.08
2023-03-13,Corn Yellow,1680.9,39.83
2025-08-12,Tomatoes Cherry,362.0,47.364
2024-03-12,Cheese Mozzarella,243.6,136.164
2025-05-16,Cucumbers,376.7,16.75
2023-09-24,Corn White,1985.2,62.44799999999999
2024-07-13,Apples Green,386.8,109.104
2024-09-14,Corn Yellow,749.9,36.31
2024-02-08,Yogurt Plain,305.4,25.2
2024-07-14,Carrots,217.3,27.68
2023-06-15,Grapes Green,121.5,63.21
2025-12-10,Yogurt Plain,208.6,90.384
2025-12-24,Milk Fresh,262.9,57.11
2025-12-03,Plums,358.1,97.61
2025-08-09,Cheese Cheddar,319.4,140.94
2024-11-19,Eggs,46.2,42.324000000000005
2024-01-15,Apples Red,335.1,54.34
2024-04-17,Carrots,587.7,31.22
2024-10-09,Butter,380.1,97.45
2023-04-20,Corn White,1952.5,60.684
2023-02-04,Wheat Organic,841.2,42.54
2024-09-24,Spinach,222.4,40.908
2024-10-16,Eggplant,299.7,22.692
2025-02-04,Eggs Organic,141.8,124.28
2024-02-13,Spinach,527.7,26.9
2023-01-25,Pineapple,415.3,77.12
2023-05-21,Yogurt Greek,312.6,72.92
2023-02-03,Tomatoes Fresh,281.8,33.27
2024-04-02,Blueberries,129.0,93.732
2025-10-09,Barley,2354.1,51.38
2023-10-19,Grapes Red,171.6,49.55
2025-08-28,Wheat Durum,1058.8,40.344
2025-06-23,Blueberries,255.0,43.53
2023-11-05,Apples Red,286.3,79.96
2025-08-14,Pineapple,121.3,84.61
2025-10-16,Blueberries,343.9,93.57
2025-12-16,Mangoes,187.0,99.65
2024-07-11,Corn White,1187.2,67.94399999999999
2025-09-03,Barley,1335.8,51.78
2024-05-08,Carrots,321.8,47.148
2025-02-20,Yogurt Strawberry,218.8,138.4
2023-01-20,Eggs,342.3,163.644
2024-05-14,Grapes Green,52.7,68.24
2023-03-18,Grapes Red,153.0,91.9
2024-07-10,Cheese Feta,485.7,60.42
2025-05-10,Spinach,481.6,23.51
2025-06-15,Carrots Baby,436.5,32.48
2025-01-03,Corn Yellow,977.4,35.39
2025-08-13,Tomatoes Cherry,560.4,19.188
2023-11-15,Onions White,343.7,26.16
2025-02-03,Broccoli,238.8,20.09
2024-10-24,Yogurt Strawberry,469.7,69.71
2023-10-03,Eggs,96.7,92.27
2023-02-27,Yogurt Strawberry,410.4,128.13
2024-01-01,Plums,449.6,63.63
2023-10-23,Barley,2072.6,36.03
2024-05-13,Carrots,367.7,18.06
2025-08-29,Potatoes,346.7,35.532
2024-01-19,Cheese Feta,336.4,78.03
2025-01-30,Yogurt Strawberry,480.7,112.14
2024-05-21,Carrots,330.8,35.33
2025-03-29,Peaches,154.8,69.85
2025-12-18,Corn Yellow,1246.9,68.7
2023-05-26,Pears,193.5,78.13199999999999
2025-11-19,Tomatoes Fresh,205.5,24.54
2025-09-24,Mangoes,136.3,119.076
2024-03-02,Yogurt Strawberry,491.2,109.47
2025-10-08,Cheese Cheddar,90.0,86.43
2025-06-08,Butter,368.8,94.512
2024-03-27,Corn White,866.8,35.15
2024-11-03,Spinach,581.7,15.5
2025-06-19,Corn Yellow,1489.0,50.69
2023-12-12,Cauliflower,149.6,15.26
2025-07-25,Quinoa,1675.8,32.54
2024-06-20,Lettuce,497.0,25.07
2023-06-28,Onions White,155.2,35.028
2023-04-14,Rice Basmati,1073.1,32.57
2025-09-12,Eggplant,450.2,34.6
2024-11-22,Corn Yellow,1495.8,35.09
2024-07-27,Cheese Mozzarella,219.9,35.69
2024-07-31,Peaches,275.9,53.85
2025-05-02,Strawberries,114.6,55.47
2023-12-29,Zucchini,487.4,19.69
2025-08-11,Cheese Feta,468.0,113.29
2024-08-13,Yogurt Strawberry,388.8,98.09
2023-10-19,Rice Basmati,2129.0,58.824
2024-07-31,Tomatoes Cherry,569.1,18.6
2025-07-16,Blueberries,201.8,102.636
2024-09-20,Yogurt Strawberry,396.5,129.43
2025-10-09,Apples Green,340.2,105.876
2025-06-01,Oranges Navel,248.2,72.96
2023-04-15,Spinach,505.0,33.6
2024-10-19,Broccoli,453.3,23.6
2023-08-15,Milk Fresh,429.2,80.74
2024-09-30,Rice Premium,900.6,42.1
2024-02-21,Eggs,213.4,79.35
2025-07-01,Wheat Organic,1192.9,48.16
2024-12-08,Wheat Durum,1112.3,47.69
2025-04-12,Potatoes,151.8,18.56
2024-10-02,Cucumbers,379.5,25.93
2024-08-27,Cheese Feta,92.7,28.51
2023-07-19,Tomatoes Fresh,278.1,37.12
2023-10-09,Soybeans,1526.6,51.6
2025-04-07,Grapes Red,214.7,97.04
2023-03-11,Apples Red,60.8,66.54
2024-05-18,Apples Green,223.8,93.62
2025-07-21,Eggplant,467.2,36.96
2023-05-30,Yogurt Strawberry,184.1,42.08
2024-05-18,Milk Almond,362.9,80.89
2024-10-11,Eggs,340.8,33.228
2023-07-12,Corn Yellow,934.7,57.86
2024-12-03,Lettuce,284.1,21.75
2023-10-02,Onions Red,476.9,21.56
2025-03-15,Wheat Durum,756.4,48.71
2024-09-12,Oats,579.4,54.48
2023-08-09,Yogurt Greek,354.6,147.12
2023-01-02,Cheese Cheddar,350.3,28.13
2025-11-11,Oranges Navel,273.4,45.43
2024-06-29,Rice Premium,1481.2,52.91
2025-08-13,Yogurt Strawberry,22.5,156.87599999999998
2025-10-01,Bananas,337.5,70.1
2023-02-02,Pears,69.3,54.03
2025-08-16,Corn Yellow,1376.3,50.24
2024-05-13,Quinoa,815.1,56.43
2025-05-17,Strawberries,128.9,91.212
2025-06-28,Eggplant,149.5,31.176
2025-07-12,Apples Green,205.7,73.59
2025-09-23,Oats,679.9,30.19
2024-03-18,Lettuce,585.8,38.58
2023-01-26,Raspberries,176.0,83.136
2024-05-23,Eggplant,128.0,22.01
2024-08-14,Corn Yellow,1505.2,39.63
2023-05-24,Cheese Cheddar,192.6,87.83
2023-08-09,Milk Almond,461.8,45.85
2025-07-05,Carrots,357.5,17.62
2024-05-23,Butter,146.6,111.84
2023-12-02,Corn White,1907.9,57.03
2023-06-13,Cabbage,463.9,31.21
2025-05-22,Pineapple,345.8,46.66
2024-02-01,Peppers Bell,470.6,23.72
2024-07-31,Corn White,1886.8,39.16
2025-02-18,Oranges,367.4,94.944
2025-09-12,Carrots Baby,558.8,34.34
2024-04-01,Corn Yellow,1379.1,41.21
2024-08-01,Yogurt Strawberry,93.3,53.268
2024-05-05,Cheese Feta,345.3,42.69
2025-08-01,Spinach,402.7,23.48
2024-01-04,Quinoa,994.1,57.684
2023-12-28,Pears,240.4,77.8
2025-03-04,Oranges Navel,113.5,101.364
2025-05-09,Rice Premium,2061.5,31.6
2024-04-13,Milk Almond,281.3,126.37
2025-01-25,Yogurt Strawberry,61.6,37.78
2025-01-14,Barley,995.8,54.89
2023-01-17,Cream,291.6,161.544
2023-03-25,Corn White,1117.1,41.52
2023-05-03,Cream,179.8,28.41
2024-06-24,Wheat Durum,1020.0,30.02
2023-01-24,Lettuce,336.4,26.196
2023-09-09,Milk Fresh,208.9,138.276
2024-06-14,Mangoes,343.6,99.07
2024-09-23,Bananas,113.4,74.01599999999999
2025-01-03,Zucchini,294.7,17.66
2024-01-05,Carrots,259.2,36.744
2025-04-04,Corn Yellow,1899.5,48.6
2024-10-14,Milk Fresh,158.1,46.39
2024-11-29,Soybeans,1113.6,48.81
2023-05-11,Grapes Red,117.0,41.08
2024-06-29,Yogurt Strawberry,469.1,46.440000000000005
2025-04-19,Strawberries,283.3,60.38
2025-11-29,Cheese Cheddar,128.1,29.44
2023-07-27,Potatoes,192.5,37.92
2025-09-22,Oranges Navel,357.6,114.432
2023-10-03,Corn Yellow,1078.3,44.45
2023-03-12,Soybeans,1836.8,42.048
2023-05-14,Lettuce,536.1,35.89
2024-02-22,Milk Fresh,486.0,49.2
2023-04-17,Potatoes,271.7,23.91
2024-03-31,Onions White,366.7,21.576
2025-03-17,Broccoli,291.3,35.7
2025-08-02,Cheese Mozzarella,22.2,105.11
2024-09-10,Carrots,504.2,31.59
2024-08-31,Milk Fresh,378.2,84.63
2024-04-04,Grapes Green,107.6,70.22
2023-05-28,Grapes Green,183.9,55.46
2025-06-21,Cheese Cheddar,240.7,145.69
2025-06-28,Potatoes,219.4,15.86
2025-08-25,Barley,1034.0,47.67
2023-06-03,Corn Yellow,529.5,65.076
2024-05-16,Broccoli,121.4,18.84
2023-02-19,Cream,96.2,140.11
2024-05-12,Cabbage,479.2,25.21
2023-04-05,Yogurt Greek,207.4,113.49
2025-05-31,Raspberries,251.0,65.84
2023-08-21,Soybeans,768.7,32.59
2023-02-09,Wheat Organic,1488.7,31.93
2023-05-28,Zucchini,118.6,16.32
2024-09-02,Milk Fresh,249.4,30.76
2024-10-29,Cheese Mozzarella,129.0,53.6
2024-05-29,Potatoes Sweet,166.8,31.22
2024-10-30,Plums,151.7,61.044
2023-05-04,Corn Yellow,1365.0,49.28
2024-12-13,Eggs,374.2,34.379999999999995
2025-07-15,Oats,1095.0,47.26
2024-06-29,Yogurt Plain,481.9,64.24
2024-01-15,Plums,259.7,58.15
2025-06-07,Soybeans,1080.8,52.008
2024-11-03,Mangoes,381.7,61.13
2023-10-22,Cauliflower,305.7,22.58
2024-08-20,Apples Red,199.6,58.12799999999999
2023-06-27,Milk Fresh,385.4,141.91
2023-12-14,Carrots Baby,446.1,30.65
2023-02-13,Oats,685.6,33.92
2024-10-23,Rice Premium,1724.2,31.9
2023-12-08,Peppers Bell,425.0,19.18
2024-01-20,Yogurt Strawberry,450.8,40.68
2024-09-23,Quinoa,894.0,60.14399999999999
2024-04-29,Onions Red,528.3,22.73
2025-02-19,Yogurt Greek,136.4,64.59
2025-06-03,Zucchini,204.9,16.98
2024-01-04,Eggplant,357.4,36.52
2025-09-03,Cheese Feta,172.8,125.81
2025-01-19,Cheese Cheddar,191.5,100.53
2023-11-14,Peppers Bell,329.3,31.92
2024-07-04,Grapes Red,377.7,72.7
2023-07-14,Peaches,70.3,95.65
2025-01-29,Potatoes Sweet,631.0,36.07
2023-07-19,Yogurt Greek,122.9,140.57
2025-06-14,Mangoes,319.4,54.228
2024-01-21,Yogurt Greek,373.1,31.44
2024-08-18,Eggplant,114.5,29.91
2024-12-09,Peaches,179.4,66.52
2023-03-21,Cream,69.9,32.78
2023-10-26,Wheat Organic,1773.4,45.22
2025-01-22,Cheese Cheddar,210.4,70.97
2025-01-26,Eggs Organic,66.7,28.58
2024-03-19,Cheese Cheddar,231.1,30.69
2025-08-22,Raspberries,370.7,54.46
2024-10-25,Eggplant,328.7,23.184
2024-11-14,Onions Red,430.5,27.0
2023-11-02,Wheat Organic,1035.0,56.7
2025-10-01,Yogurt Strawberry,404.1,143.91
2025-04-15,Corn White,746.8,37.63
2023-10-04,Oats,1115.8,53.11
2024-09-02,Carrots,117.5,37.74
2023-01-03,Quinoa,1330.8,62.184
2025-10-15,Barley,1693.8,57.87
2024-02-24,Apples Green,326.2,118.2
2024-12-08,Peaches,221.3,68.22
2025-08-04,Cabbage,235.5,32.67
2023-05-20,Wheat Durum,858.0,37.9
2023-09-27,Grapes Green,137.6,93.09
2025-07-31,Cauliflower,244.1,30.636
2025-09-17,Apples Red,98.0,70.956
2023-11-19,Rice Premium,766.9,44.86
2025-09-26,Rice Premium,949.6,42.03
2024-10-27,Zucchini,115.1,15.02
2024-11-19,Wheat Durum,1631.6,64.812
2023-10-08,Cauliflower,187.3,41.04
2025-11-07,Tomatoes Fresh,171.5,42.288
2024-07-01,Wheat Durum,1778.3,32.29
2025-06-03,Milk Fresh,162.3,115.54
2023-04-15,Apples Green,304.4,52.6
2023-05-14,Eggplant,319.3,24.0
2023-04-22,Pears,210.8,86.16
2025-02-16,Pears,272.0,67.67
2023-07-02,Grapes Green,183.4,91.176
2025-06-25,Zucchini,167.0,20.62
2025-06-26,Oats,520.6,58.83
2025-03-01,Cheese Feta,284.3,84.69
2023-09-25,Cabbage,309.7,25.13
2023-04-22,Spinach,138.2,33.56
2023-10-24,Barley,1472.8,36.85
2023-11-09,Tomatoes Fresh,172.6,17.77
2024-05-18,Wheat Durum,1606.8,34.93
2025-05-11,Pears,144.6,60.57599999999999
2023-03-26,Eggplant,174.4,16.72
2024-02-28,Bananas,135.2,61.93
2024-05-18,Cabbage,379.8,25.9
2024-06-29,Cream,102.9,64.59
2025-10-31,Yogurt Strawberry,103.2,145.68
2025-01-04,Oranges,510.4,50.13
2023-11-16,Oranges,195.6,65.74
2023-08-26,Tomatoes Fresh,244.9,38.31
2025-10-26,Oranges,141.2,59.47
2023-03-20,Apples Green,71.3,56.37
2025-05-10,Rice Premium,2215.4,57.3
2025-08-12,Onions Red,342.3,24.0
2024-05-15,Oranges Navel,83.6,63.14399999999999
2025-11-29,Raspberries,500.9,54.02
2025-05-24,Pineapple,122.8,79.764
2024-01-12,Pineapple,381.8,49.28
2023-04-26,Soybeans,812.1,36.02
2025-11-01,Pineapple,317.6,68.6
2023-07-27,Plums,171.5,70.13
2023-04-17,Broccoli,484.8,28.93
2024-08-11,Wheat Durum,1975.8,47.388
2024-04-23,Grapes Red,346.5,46.44
2023-08-09,Oranges Navel,306.4,63.77
2025-05-13,Potatoes Sweet,112.7,34.88
