id,product_name,category,region,date,quantity_sold,unit_price,total_revenue,supplier,customer_type,season,weather_condition,demand_score
1,Corn White,Grains,South Delhi,2025-01-25,1071.6,51.3,54973.08,FreshFruits,Institution,Summer,Rainy,9.2
2,Wheat Durum,Grains,Faridabad,2024-02-15,559.7,30.1,16846.97,UrbanFarms,Restaurant,Monsoon,Stormy,6.3
3,Quinoa,Grains,Ghaziabad,2023-08-17,1457.4,48.6,59024.7,SmartFarms,Export,Spring,Sunny,7.5
4,Corn White,Grains,Greater Noida,2023-03-04,1012.9,45.12,45702.05,GreenFields,Restaurant,Spring,Stormy,8.3
5,Yogurt Strawberry,Dairy,East Delhi,2024-06-23,362.0,54.35,19674.7,PremiumAgri,Institution,Summer,Cloudy,5.4
6,Rice Premium,Grains,Faridabad,2023-06-29,1788.5,47.95,85758.58,FarmFresh,Retail,Summer,Stormy,9.5
7,Wheat Durum,Grains,North Delhi,2024-09-03,1516.5,70.74,89397.68,OrganicValley,Export,Autumn,Rainy,5.0
8,Onions White,Vegetables,Central Delhi,2025-01-15,167.3,23.14,3871.32,PremiumAgri,Wholesale,Summer,Rainy,5.5
9,Apples Green,Fruits,Ghaziabad,2024-08-11,208.5,91.11,18996.44,FarmFresh,Wholesale,Spring,Stormy,9.2
10,Onions Red,Vegetables,East Delhi,2024-06-22,611.7,23.89,14613.51,OrganicValley,Institution,Summer,Windy,6.1
11,Strawberries,Fruits,Gurgaon,2024-03-26,206.6,107.628,18529.95,FarmFresh,Export,Spring,Rainy,8.0
12,Apples Red,Fruits,Noida,2024-11-17,382.4,74.688,23800.58,NatureHarvest,Export,Summer,Sunny,8.1
13,Oats,Grains,East Delhi,2025-04-26,1729.6,58.152,83816.42,UrbanFarms,Export,Autumn,Foggy,10.0
14,Rice Basmati,Grains,Central Delhi,2024-01-31,1985.5,59.08,117303.34,NatureHarvest,Retail,Summer,Foggy,5.2
15,Corn Yellow,Grains,Gurgaon,2023-03-13,1680.9,39.83,66950.25,UrbanFarms,Institution,Spring,Sunny,6.3
16,Tomatoes Cherry,Vegetables,South Delhi,2025-08-12,362.0,47.364,14288.14,PremiumAgri,Export,Spring,Cloudy,5.3
17,Cheese Mozzarella,Dairy,East Delhi,2024-03-12,243.6,136.164,27641.29,FarmFresh,Export,Spring,Cloudy,7.1
18,Cucumbers,Vegetables,Central Delhi,2025-05-16,376.7,16.75,6309.72,GreenFields,Wholesale,Winter,Foggy,6.0
19,Corn White,Grains,Greater Noida,2023-09-24,1985.2,62.44799999999999,103309.81,PremiumAgri,Export,Autumn,Sunny,7.9
20,Apples Green,Fruits,Ghaziabad,2024-07-13,386.8,109.104,35167.86,DairyBest,Export,Monsoon,Cloudy,6.6
21,Corn Yellow,Grains,Central Delhi,2024-09-14,749.9,36.31,27228.87,FreshFruits,Institution,Autumn,Foggy,6.8
22,Yogurt Plain,Dairy,Greater Noida,2024-02-08,305.4,25.2,7696.08,FarmFresh,Institution,Monsoon,Cloudy,9.5
